Accuracy,Precision,Recall,F1-score,Balanced Accuracy,ROC-AUC,Dataset,Seed,Split,Method,Training Time (s)
0.8333333333333334,0.875,0.75,0.8076923076923077,0.828125,0.8560267857142857,Heart Disease,11,Non-IID,Centralised LR,0.0025129318237304688
0.8166666666666667,0.8695652173913043,0.7142857142857143,0.7843137254901961,0.8102678571428572,0.8493303571428571,Heart Disease,11,Non-IID,Federated LR (FedAvg),0.08831930160522461
0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.8482142857142857,0.9118303571428572,Heart Disease,22,Non-IID,Centralised LR,0.0016548633575439453
0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.8482142857142857,0.9207589285714286,Heart Disease,22,Non-IID,Federated LR (FedAvg),0.09288883209228516
0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.8482142857142857,0.9241071428571428,Heart Disease,33,Non-IID,Centralised LR,0.0016777515411376953
0.8666666666666667,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8660714285714286,0.9263392857142858,Heart Disease,33,Non-IID,Federated LR (FedAvg),0.08796334266662598
0.7666666666666667,0.7916666666666666,0.6785714285714286,0.7307692307692307,0.7611607142857143,0.8426339285714286,Heart Disease,44,Non-IID,Centralised LR,0.0016527175903320312
0.7833333333333333,0.8260869565217391,0.6785714285714286,0.7450980392156863,0.7767857142857143,0.8426339285714286,Heart Disease,44,Non-IID,Federated LR (FedAvg),0.09398627281188965
0.9,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8995535714285714,0.9553571428571428,Heart Disease,55,Non-IID,Centralised LR,0.0016238689422607422
0.9166666666666666,0.9259259259259259,0.8928571428571429,0.9090909090909091,0.9151785714285714,0.9564732142857143,Heart Disease,55,Non-IID,Federated LR (FedAvg),0.08680272102355957
0.7433808553971487,0.11678832116788321,0.7619047619047619,0.20253164556962025,0.7522289766970618,0.8216818642350557,Stroke Prediction,11,Non-IID,Centralised LR,0.019940853118896484
0.7780040733197556,0.11739130434782609,0.6428571428571429,0.19852941176470587,0.7134498480243161,0.7995440729483283,Stroke Prediction,11,Non-IID,Federated LR (FedAvg),0.1383059024810791
0.7617107942973523,0.12790697674418605,0.7857142857142857,0.22,0.773176291793313,0.8422239108409321,Stroke Prediction,22,Non-IID,Centralised LR,0.023636341094970703
0.7922606924643585,0.1318181818181818,0.6904761904761905,0.22137404580152673,0.7436423505572441,0.8255825734549139,Stroke Prediction,22,Non-IID,Federated LR (FedAvg),0.1181802749633789
0.7362525458248472,0.13220338983050847,0.9285714285714286,0.2314540059347181,0.8281155015197569,0.8752279635258359,Stroke Prediction,33,Non-IID,Centralised LR,0.016873598098754883
0.7678207739307535,0.1423076923076923,0.8809523809523809,0.24503311258278146,0.8218591691995947,0.8787487335359676,Stroke Prediction,33,Non-IID,Federated LR (FedAvg),0.11092615127563477
0.7494908350305499,0.12222222222222222,0.7857142857142857,0.21153846153846154,0.7667933130699088,0.8581560283687943,Stroke Prediction,44,Non-IID,Centralised LR,0.018787145614624023
0.8014256619144603,0.14084507042253522,0.7142857142857143,0.23529411764705882,0.7598024316109422,0.853242147922999,Stroke Prediction,44,Non-IID,Federated LR (FedAvg),0.11237144470214844
0.7576374745417516,0.12595419847328243,0.7857142857142857,0.21710526315789475,0.771048632218845,0.825405268490375,Stroke Prediction,55,Non-IID,Centralised LR,0.01566481590270996
0.7729124236252546,0.12757201646090535,0.7380952380952381,0.21754385964912282,0.7562816616008106,0.8269756838905775,Stroke Prediction,55,Non-IID,Federated LR (FedAvg),0.12992072105407715
